epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,499.213,0.67187,0.32433,0.77432,0.98759,0.9833,0.99412,0.83211,0.62046,0.29868,0.76725,8.7031e-05,8.7031e-05,8.7031e-05
133,503.231,0.66134,0.32888,0.7681,0.98602,0.98455,0.99414,0.83091,0.59298,0.29162,0.7658,8.6932e-05,8.6932e-05,8.6932e-05
134,507.167,0.63606,0.30717,0.77109,0.98865,0.98661,0.99411,0.85698,0.54958,0.28028,0.76265,8.6833e-05,8.6833e-05,8.6833e-05
135,511.149,0.62671,0.30947,0.76361,0.99004,0.98146,0.99408,0.85212,0.57001,0.28708,0.76656,8.6734e-05,8.6734e-05,8.6734e-05
136,515.068,0.65433,0.31376,0.76047,0.98759,0.9837,0.99423,0.86342,0.53439,0.27433,0.76403,8.6635e-05,8.6635e-05,8.6635e-05
137,519.099,0.66089,0.31321,0.77057,0.98658,0.98454,0.9942,0.85518,0.54083,0.27615,0.76423,8.6536e-05,8.6536e-05,8.6536e-05
138,523.021,0.66113,0.3177,0.77211,0.98761,0.98472,0.99422,0.83932,0.60154,0.28576,0.76715,8.6437e-05,8.6437e-05,8.6437e-05
139,526.798,0.64103,0.30841,0.76925,0.99477,0.98031,0.99439,0.84319,0.54423,0.27556,0.76285,8.6338e-05,8.6338e-05,8.6338e-05
140,530.781,0.61918,0.31652,0.77503,0.99066,0.98353,0.9943,0.82333,0.64679,0.29923,0.76682,8.6239e-05,8.6239e-05,8.6239e-05
141,534.66,0.66289,0.31885,0.7742,0.9893,0.98558,0.99427,0.84459,0.56262,0.27505,0.76327,8.614e-05,8.614e-05,8.614e-05
142,538.737,0.62771,0.31226,0.77617,0.98862,0.98403,0.99425,0.84849,0.56814,0.27711,0.765,8.6041e-05,8.6041e-05,8.6041e-05
143,542.722,0.67253,0.3197,0.76752,0.98264,0.99073,0.99432,0.83684,0.56663,0.28116,0.76568,8.5942e-05,8.5942e-05,8.5942e-05
144,546.732,0.64689,0.31176,0.7616,0.98863,0.98485,0.99422,0.84184,0.58558,0.28383,0.76497,8.5843e-05,8.5843e-05,8.5843e-05
145,550.803,0.6394,0.30887,0.77168,0.98978,0.98558,0.99429,0.85433,0.55109,0.28265,0.76298,8.5744e-05,8.5744e-05,8.5744e-05
146,554.693,0.64584,0.3162,0.76469,0.98954,0.98249,0.99404,0.84253,0.55484,0.28182,0.76178,8.5645e-05,8.5645e-05,8.5645e-05
147,558.647,0.64733,0.31237,0.77267,0.98913,0.9794,0.994,0.81371,0.64372,0.30585,0.76553,8.5546e-05,8.5546e-05,8.5546e-05
148,562.477,0.66771,0.32536,0.76433,0.9902,0.98352,0.99426,0.85665,0.54229,0.28391,0.76437,8.5447e-05,8.5447e-05,8.5447e-05
149,566.413,0.65712,0.30683,0.76994,0.98963,0.98288,0.99427,0.82915,0.62353,0.30356,0.76718,8.5348e-05,8.5348e-05,8.5348e-05
150,570.332,0.67412,0.31869,0.76889,0.98861,0.98368,0.99421,0.84268,0.60218,0.29767,0.76517,8.5249e-05,8.5249e-05,8.5249e-05
151,574.253,0.64184,0.31792,0.76626,0.99067,0.98389,0.99419,0.86527,0.5284,0.27585,0.76299,8.515e-05,8.515e-05,8.515e-05
152,578.346,0.60145,0.29653,0.77267,0.98963,0.98234,0.99425,0.85473,0.54586,0.27688,0.76417,8.5051e-05,8.5051e-05,8.5051e-05
153,582.287,0.61942,0.29702,0.77473,0.98922,0.98352,0.99343,0.86542,0.5132,0.26653,0.76169,8.4952e-05,8.4952e-05,8.4952e-05
154,586.183,0.65019,0.30684,0.76692,0.99028,0.98352,0.99394,0.85172,0.56035,0.28007,0.76519,8.4853e-05,8.4853e-05,8.4853e-05
155,589.983,0.61394,0.29757,0.76207,0.991,0.98352,0.99396,0.84796,0.53421,0.2718,0.7632,8.4754e-05,8.4754e-05,8.4754e-05
156,593.863,0.62332,0.30197,0.76701,0.99272,0.98241,0.99374,0.83451,0.59115,0.28658,0.76371,8.4655e-05,8.4655e-05,8.4655e-05
157,597.932,0.63372,0.29909,0.76423,0.99375,0.9818,0.9937,0.86256,0.53203,0.27255,0.76327,8.4556e-05,8.4556e-05,8.4556e-05
158,601.903,0.5952,0.29517,0.77016,0.99336,0.98352,0.99377,0.8623,0.53894,0.27434,0.76416,8.4457e-05,8.4457e-05,8.4457e-05
159,605.882,0.62516,0.30237,0.76627,0.99416,0.9794,0.99312,0.84366,0.58381,0.2861,0.76582,8.4358e-05,8.4358e-05,8.4358e-05
160,610.166,0.58963,0.28843,0.76898,0.99326,0.98352,0.99333,0.85822,0.53474,0.27277,0.76397,8.4259e-05,8.4259e-05,8.4259e-05
161,614.197,0.59524,0.29353,0.76685,0.9948,0.98453,0.99357,0.84033,0.57189,0.2773,0.76432,8.416e-05,8.416e-05,8.416e-05
162,618.294,0.59013,0.29944,0.76359,0.99435,0.98455,0.99393,0.83531,0.56723,0.27832,0.7634,8.4061e-05,8.4061e-05,8.4061e-05
163,622.329,0.63375,0.30665,0.76587,0.9917,0.98429,0.99296,0.8407,0.56786,0.28319,0.76562,8.3962e-05,8.3962e-05,8.3962e-05
164,626.379,0.58407,0.29021,0.76777,0.99111,0.98352,0.99359,0.859,0.53649,0.26877,0.76369,8.3863e-05,8.3863e-05,8.3863e-05
